,Start_15,Ende_15,Energie [kWh],Leistung [kW],Kapazitaet [kWh],Finaler SOC [kWh],profits [EUR],trades [#],Initialer SOC [kWh]
0,2017-01-01 08:00:00,2017-01-01 17:00:00,6.698620914,11,50,45,0.0,0,38.301379086
1,2017-01-02 08:00:00,2017-01-02 17:00:00,8.5611429,11,50,45,0.0,0,36.4388571
2,2017-01-03 08:00:00,2017-01-03 17:00:00,6.993899306,11,50,45,0.0,0,38.006100694
3,2017-01-04 08:00:00,2017-01-04 17:00:00,9.854902472000001,11,50,45,0.0,0,35.145097528
4,2017-01-05 08:00:00,2017-01-05 17:00:00,7.198577195,11,50,45,0.0,0,37.801422805
5,2017-01-06 08:00:00,2017-01-06 17:00:00,12.31704808,11,50,45,0.0,0,32.68295192
6,2017-01-07 08:00:00,2017-01-07 17:00:00,5.336216838,11,50,45,0.0,0,39.663783162
7,2017-01-08 08:00:00,2017-01-08 17:00:00,5.652723494,11,50,45,0.0,0,39.347276506
8,2017-01-09 08:00:00,2017-01-09 17:00:00,2.351739232,11,50,45,0.0,0,42.648260768
9,2017-01-10 08:00:00,2017-01-10 17:00:00,2.5325599999999997,11,50,45,0.0,0,42.46744
10,2017-01-11 08:00:00,2017-01-11 17:00:00,14.03834515,11,50,45,0.0,0,30.961654850000002
11,2017-01-12 08:00:00,2017-01-12 17:00:00,14.93506617,11,50,45,0.0,0,30.06493383
12,2017-01-13 08:00:00,2017-01-13 17:00:00,8.613623047,11,50,45,0.0,0,36.386376952999996
13,2017-01-14 08:00:00,2017-01-14 17:00:00,3.130513222,11,50,45,0.0,0,41.869486778
14,2017-01-15 08:00:00,2017-01-15 17:00:00,11.20077322,11,50,45,0.0,0,33.79922678
15,2017-01-16 08:00:00,2017-01-16 17:00:00,0.886894436,11,50,45,0.0,0,44.113105564
16,2017-01-17 08:00:00,2017-01-17 17:00:00,3.466112692,11,50,45,0.0,0,41.533887308
17,2017-01-18 08:00:00,2017-01-18 17:00:00,13.26219405,11,50,45,0.0,0,31.737805950000002
18,2017-01-19 08:00:00,2017-01-19 17:00:00,11.29318968,11,50,45,0.0,0,33.70681032
19,2017-01-20 08:00:00,2017-01-20 17:00:00,14.08344086,11,50,45,0.0,0,30.91655914
20,2017-01-21 08:00:00,2017-01-21 17:00:00,0.358753241,11,50,45,0.0,0,44.641246759
21,2017-01-22 08:00:00,2017-01-22 17:00:00,1.6814697369999998,11,50,45,0.0,0,43.318530263
22,2017-01-23 08:00:00,2017-01-23 17:00:00,0.704984855,11,50,45,0.0,0,44.295015145
23,2017-01-24 08:00:00,2017-01-24 17:00:00,11.36626603,11,50,45,0.0,0,33.63373397
24,2017-01-25 08:00:00,2017-01-25 17:00:00,1.621263184,11,50,45,0.0,0,43.378736816
25,2017-01-26 08:00:00,2017-01-26 17:00:00,6.780991287000001,11,50,45,0.0,0,38.219008713
26,2017-01-27 08:00:00,2017-01-27 17:00:00,12.95169145,11,50,45,0.0,0,32.04830855
27,2017-01-28 08:00:00,2017-01-28 17:00:00,4.983171521,11,50,45,0.0,0,40.016828479
28,2017-01-29 08:00:00,2017-01-29 17:00:00,2.143996074,11,50,45,0.0,0,42.856003926
29,2017-01-30 08:00:00,2017-01-30 17:00:00,12.0829715,11,50,45,0.0,0,32.9170285
30,2017-01-31 08:00:00,2017-01-31 17:00:00,5.657176734,11,50,45,0.0,0,39.342823265999996
31,2017-02-01 08:00:00,2017-02-01 17:00:00,13.8809798,11,50,45,0.0,0,31.1190202
32,2017-02-02 08:00:00,2017-02-02 17:00:00,12.59450977,11,50,45,0.0,0,32.40549023
33,2017-02-03 08:00:00,2017-02-03 17:00:00,8.895709052,11,50,45,0.0,0,36.104290948
34,2017-02-04 08:00:00,2017-02-04 17:00:00,13.19105763,11,50,45,0.0,0,31.80894237
35,2017-02-05 08:00:00,2017-02-05 17:00:00,6.124906752999999,11,50,45,0.0,0,38.875093247
36,2017-02-06 08:00:00,2017-02-06 17:00:00,6.446838746,11,50,45,0.0,0,38.553161254
37,2017-02-07 08:00:00,2017-02-07 17:00:00,10.49295911,11,50,45,0.0,0,34.50704089
38,2017-02-08 08:00:00,2017-02-08 17:00:00,2.697364382,11,50,45,0.0,0,42.302635618
39,2017-02-09 08:00:00,2017-02-09 17:00:00,2.950105317,11,50,45,0.0,0,42.049894683
40,2017-02-10 08:00:00,2017-02-10 17:00:00,9.118243119,11,50,45,0.0,0,35.881756881
41,2017-02-11 08:00:00,2017-02-11 17:00:00,4.980733422,11,50,45,0.0,0,40.019266578
42,2017-02-12 08:00:00,2017-02-12 17:00:00,10.39250425,11,50,45,0.0,0,34.60749575
43,2017-02-13 08:00:00,2017-02-13 17:00:00,5.4088875960000005,11,50,45,0.0,0,39.591112404
44,2017-02-14 08:00:00,2017-02-14 17:00:00,12.99814595,11,50,45,0.0,0,32.00185405
45,2017-02-15 08:00:00,2017-02-15 17:00:00,2.613253916,11,50,45,0.0,0,42.386746084
46,2017-02-16 08:00:00,2017-02-16 17:00:00,7.067964879,11,50,45,0.0,0,37.932035121
47,2017-02-17 08:00:00,2017-02-17 17:00:00,0.176901068,11,50,45,0.0,0,44.823098932
48,2017-02-18 08:00:00,2017-02-18 17:00:00,13.88007237,11,50,45,0.0,0,31.11992763
49,2017-02-19 08:00:00,2017-02-19 17:00:00,4.400903746,11,50,45,0.0,0,40.599096254
50,2017-02-20 08:00:00,2017-02-20 17:00:00,3.3145281489999996,11,50,45,0.0,0,41.685471851
51,2017-02-21 08:00:00,2017-02-21 17:00:00,3.026140634,11,50,45,0.0,0,41.973859366
52,2017-02-22 08:00:00,2017-02-22 17:00:00,4.4194178310000005,11,50,45,0.0,0,40.580582168999996
53,2017-02-23 08:00:00,2017-02-23 17:00:00,5.956686095,11,50,45,0.0,0,39.043313905
54,2017-02-24 08:00:00,2017-02-24 17:00:00,7.756284604,11,50,45,0.0,0,37.243715396
55,2017-02-25 08:00:00,2017-02-25 17:00:00,4.121436967,11,50,45,0.0,0,40.878563033
56,2017-02-26 08:00:00,2017-02-26 17:00:00,11.37737973,11,50,45,0.0,0,33.62262027
57,2017-02-27 08:00:00,2017-02-27 17:00:00,9.548475776,11,50,45,0.0,0,35.451524223999996
58,2017-02-28 08:00:00,2017-02-28 17:00:00,8.170111042,11,50,45,0.0,0,36.829888958
59,2017-03-01 08:00:00,2017-03-01 17:00:00,5.5671087560000005,11,50,45,0.0,0,39.432891244
60,2017-03-02 08:00:00,2017-03-02 17:00:00,3.525484347,11,50,45,0.0,0,41.474515653
61,2017-03-03 08:00:00,2017-03-03 17:00:00,9.812397318,11,50,45,0.0,0,35.187602682
62,2017-03-04 08:00:00,2017-03-04 17:00:00,6.607224292000001,11,50,45,0.0,0,38.392775708
63,2017-03-05 08:00:00,2017-03-05 17:00:00,4.832123789,11,50,45,0.0,0,40.167876211
64,2017-03-06 08:00:00,2017-03-06 17:00:00,6.957775513,11,50,45,0.0,0,38.042224487
65,2017-03-07 08:00:00,2017-03-07 17:00:00,5.078571162,11,50,45,0.0,0,39.921428838
66,2017-03-08 08:00:00,2017-03-08 17:00:00,10.202852400000001,11,50,45,0.0,0,34.7971476
67,2017-03-09 08:00:00,2017-03-09 17:00:00,12.49813551,11,50,45,0.0,0,32.50186449
68,2017-03-10 08:00:00,2017-03-10 17:00:00,12.35030526,11,50,45,0.0,0,32.64969474
69,2017-03-11 08:00:00,2017-03-11 17:00:00,5.418273062000001,11,50,45,0.0,0,39.581726938
