t,preise
0,45.51917808
1,45.33809524
2,43.82494570000001
3,43.74510067
4,41.52176638
5,39.09367267
6,37.26688381
7,37.57973081
8,36.34369321
9,36.58500986
10,36.58574514
11,36.54829387
12,36.39538462
13,36.24577657
14,36.24625558
15,36.24625558
16,36.18918652
17,35.61247226
18,35.61247226
19,35.61247226
20,35.61247226
21,33.46995342
22,33.46995342
23,33.46995342
24,33.46995342
25,31.01908181
26,31.15050833
27,31.09794506
28,31.32472979
29,29.94750162
30,29.94750162
31,29.94750162
32,29.94750162
